mfs_name,status,mfs_transaction_status,created_by,debit_account_number,debit_account_title,credit_account_title,cbs_ft_trace_no,credit_account_number,debit_account_branch_oid,created_on
Ventosanzap,active,failure,scoghlin6b,46-127-2572,tz1in7QhVMNZ9kCqDodntFD4c8eKMJGg6wRA,tz1Wr4KnPcgUP81iSSerbvA6Pthn5FS1113w,7968866650,72-833-1752,South Naknek,2024-05-21
Treeflex,inactive,success,hfibben6c,62-637-5775,tz1Q1KsP31NiWkzcaUpdJfZVzaDFyk6kLyVf,tz1Y75ZhcTDdfwV6s1XCDCmATRN9tLKCEXgN,3341204563,55-263-9100,Atka,2024-06-09
Home Ing,active,failure,aticic6d,93-939-1525,tz1N9nu1ULDhgW9s7jSdKPHFsWQVzMExXVMx,tz1fNgfW58fAkfawgkofzJqNpVJ8aoXDnq96,6359312344,81-303-3576,Beatrice,2024-03-18
Namfix,active,success,acrichmere6e,33-840-7727,tz1UdRLMtHgtNrsTRcsKXtEhADB3sPHtaaq6,tz1MDCWde8hQUSSH5HmNmDEvqzFjvEoHHcx7,9642123398,24-801-6248,Chingola,2024-05-17
Vagram,inactive,success,yhollidge6f,40-069-1696,tz1gF4xpzoVyvLr9DZUcKQ6owr2RPZTtPtBc,tz1UUHCdFGn3ehqnkuW93UCTRx6ebG7yGyan,8285001784,05-018-9195,Kasaan,2024-04-18
Gembucket,inactive,success,aspridgeon6g,85-617-7069,tz1RD8ccCxvipNd4RQj3Nqxh4xhTWjJjw3bw,tz1Wpwb2yeGVowQMcPd6vYXAb9vcuxQscSUV,0767842537,89-409-1994,Battle Creek,2024-08-07
Bigtax,active,success,dbassingham6h,67-751-5316,tz1Kx2v7nDQXiXSrouujYfLamPJZacs64h4d,tz1RzH3Y4NHocpPaVY8j3MjfeK3Xt1CdpFKH,5964932916,31-760-0616,Patterson,2024-02-02
Regrant,inactive,failure,rverchambre6i,53-417-3538,tz1RrtA4PQTxQgEp64RTUQLzeA9xySuhrZpf,tz1VCJ6sP9nyBEpicYyt8V4GpW1bcLCCkCYV,7268602359,68-138-9188,Canarana,2023-12-01
Fixflex,active,failure,rswalowe6j,96-973-8833,tz1NVJNwhyx4d4WJqQux34H5BM8zgnES4Eb9,tz1VHSLmRpn19HBEEmuibAYSx5ksrZe1zd8W,8283622323,78-712-2137,Shetland Islands,2024-07-19
Aerified,inactive,success,hslemmonds6k,41-395-5354,tz1cttqbaK45tDp8Xo7gm7XUYhooYaKpwZgm,tz1Khu8j5iLfcveXHg7cogQGs645Vm13t5bn,9986904153,36-589-0468,,2024-02-13
Latlux,active,failure,mpower6l,37-232-5088,tz1efWLynZ7aTgmGAYj92oDNkMuYkoVP9BfJ,tz1fh7AMZXjS4LiwgGVnryHX9cXBGVvBCvnv,9825152834,16-981-0016,Wrightstown,2024-07-15
Trippledex,inactive,failure,lfears6m,13-649-4476,tz1Z7jT38xeXbcPMBSCh6VZa8QyqjZsBDYNn,tz1WJ9xarhSgffZPm7HHAqsEQPbiXN3WhLzt,6616033481,36-338-7044,Benguera Island,2024-09-24
Greenlam,inactive,failure,arunacres6n,90-516-5304,tz1MNTsz9ZakptnvMswhsAfcConWZ9HMyUYe,tz1XFBw7C8VD5fmercKAehm91CMPY13jKPd9,1557211353,02-634-9402,Nanjing,2024-10-27
Biodex,active,failure,charfleet6o,24-934-0095,tz1hZGbKnoWaPtCdRX1v5ijrHED2kqi79oRd,tz1cb49Rmfp5Z4KqVhPK8gCwF2aTYMhLp5iD,4709159459,05-804-8812,St. Mary's,2024-04-22
Lotstring,inactive,success,lmurphy6p,14-574-6203,tz1iS85pJzuYmpcxMQo7CRe6A8CEsF7VSaEn,tz1hu3dL5CU2UjPvK2KVKfSY1fHUyxPpXqvi,7920340780,62-575-9545,Veranópolis,2024-05-17
Opela,inactive,failure,cgainsboro6q,18-225-8870,tz1NXD2b3ujFsf6v8hLSabXFfhe6ZDTdwGGC,tz1hqsorHKWH4ScRzGAbWysnBMTPTdmZMk5w,0341653020,47-348-7937,Caquetania,2023-11-14
Temp,active,success,wbewlie6r,51-919-8383,tz1WSbMeAvuDfkHFrCDZuaycbsRxLZ3EJNDv,tz1TdMXyZpGs3bHbf5F5iM3x2hZXkt6YgYQY,7004843505,96-368-7497,Gisborne,2024-10-23
Lotlux,inactive,failure,tmeiklam6s,79-281-7465,tz1Kz4MSyJBrEubYVcNeWwvkPAvmj1yW3DS6,tz1NCZyY7AGu6hXSEUw7PNFbwbgmCh4qGfjA,2723218201,47-419-1244,Gwa,2024-04-02
Bitchip,inactive,failure,aboulds6t,22-841-4822,tz1ZCn9RLcMW3rYrUVstDUF9fLxj4bLYLRaP,tz1ZXgAa4VZtS61zJfpopF49457soyVnUxi2,8541816346,19-439-2385,Eureka,2024-05-05
Lotlux,active,failure,swiggall6u,58-754-3464,tz1KeZbiBEJ4sCbX2S3SNgcnjWzLkoDoL9cb,tz1QJh3HgBph11GfbLn7EonHGywTcAD9Rnxq,9465951005,23-492-3608,Meadville,2024-04-20
Latlux,active,failure,cind6v,76-124-4600,tz1PVgGTBzjYcQaXCVRu5KdN1cp6L2HCctGS,tz1PbmfjdBbLPMczybj1vTeFXvg18B95eKQW,1151745103,64-322-7075,Angoon,2024-06-09
Keylex,inactive,failure,nwaddams6w,20-842-0418,tz1N5BQB6DMP9RhCgZec8cxiAVdM2s1EXDjU,tz1btV1ENZK9PVntGAxZoRgCatPrj5ZKcAjV,9914909493,47-725-7043,Kotlik,2023-12-08
Zathin,active,success,qdanbi6x,42-405-4865,tz1UFAZRb6f9ike9pKy4k87rMpST2G1yLFhJ,tz1SPb4ZHfG3fb2PrbiK3UKCgtGWn4wVxLGs,4592583159,83-261-6618,Andrews,2023-11-29
Keylex,inactive,failure,fgolling6y,67-056-5010,tz1h3jvsFqhUihQU7TdzxAXK61fShZvjmJzt,tz1ZckuPqyFBRBgvcDnkYEVsqzE4vDBNcReQ,9246039270,77-274-5164,Benton Harbor,2024-05-11
Zaam-Dox,active,success,fboundey6z,14-916-4435,tz1TKT7hjr3aPwYJRZE6Sc2mAQHvtmkHarrD,tz1eA6GxZmkqPnwftS1eswv6RaeyZiwFnDuG,9529735391,20-321-8640,Haines,2024-09-24
Temp,inactive,success,smundow70,82-443-1549,tz1dMoX5GvtEaY2o7jVJLMxLkaumLoKrqoik,tz1axUdrLoaTX4oZyjJXs7HJ9Q2h2GSusKb7,1509632425,39-636-7352,Chicago,2024-07-02
Fix San,inactive,failure,salessandretti71,89-757-7409,tz1eaXu97j72wLJDcvNwDRtLFegbr9yVargL,tz1bHRJAaDVWairpbCLb6kqT1GRYVNHyrZGH,0157281779,12-510-5644,Tsumeb,2024-07-18
Stringtough,active,failure,gvanderbrug72,21-983-1219,tz1RhBWgykSAUJoTiP4QZsYCMNadqFSpbbhC,tz1ghYS5SpdKz4R6n8nbB71DpGhoMJbTtpxf,8427199538,43-039-1009,,2024-07-17
Bytecard,inactive,failure,mkobpac73,08-369-1843,tz1RiQCSRFHNP94gpS6gdg4ZB3bGQdXK2yJT,tz1iEeyANumyaGB6zz7utw7qY6i5EkNHWr6n,4365094173,83-522-4254,Rif,2024-04-03
Opela,active,failure,rcordle74,62-765-3878,tz1Z92RLMiLRw3QnLEbtCKKdW7oWSEVAiqRM,tz1dGMS88P7Dy9En7s9maJbp6y1pb34Ff6kw,9867943961,30-983-5714,Baleela Base Camp,2024-03-25
Flowdesk,inactive,failure,hfearenside75,71-782-4914,tz1XAqQD9QCLNZNaLBsv8UBVsnSQLkgG1JZJ,tz1h4iLBdjLqy7tConK3Gsukr71nFFWQcEFr,8027257050,85-064-5656,St-François,2023-11-29
Bytecard,active,failure,eglisenan76,18-245-2031,tz1LsCGX7k5dwaGLoCt6RR6XePAqcfAKzfAu,tz1ZkVG7ZuuFvunGdf52Z1E2bnbGMJPBZGLr,4543351460,25-585-2864,Exeter,2024-03-10
Mat Lam Tam,inactive,success,bdumsday77,58-171-4521,tz1Wykv8x5chVbYLZb95bum6FYhn6ecv89q2,tz1Ur4u9ZJe4CbkvZyGdNF8hRos6GgPoPnK8,3213767026,10-830-1078,Horn Island,2024-10-13
Tempsoft,active,failure,aocrigan78,99-859-3581,tz1cWMFVw4D1ucwbx9HczhrvBayoWB6v5ihj,tz1NDRVrTBn83U7ASfiNSw4veBsjQSqfPXYK,9500361930,93-693-6346,False Pass,2024-04-02
Lotlux,inactive,failure,mnavein79,84-128-6893,tz1QuGzCrALzGcb5xu7ERsoeVyF8C5oTMLKb,tz1YwxjuEQCrP72EZUz7WRii2RYf7MPuTWis,2815122588,34-394-1064,Guaíra,2024-08-26
Aerified,active,success,mparcells7a,09-466-7370,tz1fGGqGp8dhGcK92dPYwAkEakPTDX1MiEHm,tz1S42r2vUG9oGvwKhi9kPChF8i5vNubJYr6,6656950116,14-363-1900,Eagle Pass,2024-05-13
Zaam-Dox,inactive,failure,bskydall7b,79-746-7562,tz1QDkq8Knv5GYYWLNFxTPCL1TESYotP6i4N,tz1VV8yf5ucYPnkxKzQaGxF6pNBR4zSLvD5e,9690237810,83-126-2679,Cleveland,2024-04-27
Zaam-Dox,inactive,success,cbraniff7c,31-042-6875,tz1MnsZfZs5gAZmAzviU3tS7VLQimUDRhawN,tz1gi7MCfzhtDkvg498Cfo2zCuSm6v2Gqddn,3580034049,13-596-8730,Eliptamin,2024-06-18
Regrant,inactive,success,rmahood7d,51-694-0046,tz1YNZZEBmnJ36sVQoTuft42hv7jUUJ2nh2Y,tz1iBCTRxVaDBfg5NGbVz87D3QjJL4E7Xqfs,6807434162,46-764-0534,Campo Grande,2024-08-08
Ventosanzap,inactive,failure,clukesch7e,41-329-4326,tz1NPC8HA5hB1XgyBZjvKTHBed1KA71bhzW2,tz1dYKjADiUotgb3M2Cj4VVzWkwj2FoNqBY6,0654850070,10-233-5579,,2024-05-15
Home Ing,inactive,failure,lchristofle7f,51-491-2585,tz1gNmY8xXG8zGU7ojyusaB9mrES7nEEHNzA,tz1LvywyZdaszJkfc94e9H1yQjmpPfKpLU7s,1847419704,32-291-8395,Hyderabad,2024-03-26
Alpha,active,failure,sdimitrie7g,53-459-5166,tz1PFfQoMBFeTy62G46eS15xbg5f3NUHdt83,tz1QDb2dqdrHikajUtvP6Q44cQHXeBcyprtL,4682043978,26-150-7093,Akita,2024-09-20
Voyatouch,active,success,avandendael7h,02-711-0424,tz1VAFhSNvZqrDgmWCAdBwKDb7HYKko9rNbg,tz1QUy3Aj2NY8eKoT1TGhDkh65sBpxZiTyqN,1770735011,01-152-7991,,2024-07-06
Daltfresh,active,failure,twinchcomb7i,70-241-0545,tz1X1HPQxsd6v2p82rNHXKokYe7M1aH7Whbk,tz1XigkEJghHMzs2yLfJVLX7AJte7DHu5n1Z,5642204734,41-159-4100,Puebla,2024-04-05
Stronghold,active,failure,spottell7j,03-965-1127,tz1WUoVVnz9jznwfmF2sVkH2ujy8ZkGMpg3f,tz1cXhWF8UcVxBBNLXRhrPQXN2yoXvYtes1C,3221321325,52-160-7127,Caucasia,2024-10-22
Mat Lam Tam,active,failure,rberisford7k,66-545-6838,tz1RrBoybJWL1E9AzT7B1bzrT9u4sb8FBZYP,tz1S47Be6Gf9mfmTUY2gCKqDDnNo8EdUSgzx,9271495268,15-152-7247,Tchien,2024-10-12
Treeflex,inactive,failure,rpeebles7l,56-038-7082,tz1Yw9VkxREUUqpqGqNdKv7i1XMDY6d8QUDd,tz1Z8Zo6ujSKs5UjgYi3kLFoRp3vWUBbN6Hc,8672546318,94-355-7492,Batouri,2024-07-03
Lotlux,active,success,awetherhead7m,97-349-0225,tz1S4j3N138qCQB8x46LCc2RkxsQyNCkJ8dG,tz1d9s8kac1DUrCppxdgkAt3RowNzAvYMVqC,2140853709,83-646-8966,Lonely,2024-03-08
Y-Solowarm,active,failure,ntakos7n,44-831-4363,tz1MTRuUoXJC9pFn1S7Y6vtduwcFStr5vn1a,tz1eSSJRiU17hg4LhXiHcspTopHmkXw5vvhP,5970122459,83-521-4189,Obock,2024-05-18
Toughjoyfax,active,success,pbeggi7o,62-483-4647,tz1a3F52hC1KBFyRtXanWm37u6KAfk3yTCHq,tz1VmsS6Ww6mzGpeuTNQj8gmt43XUhZwBWtm,0997022302,45-378-8822,Limon,2024-09-25
Regrant,inactive,failure,krodway7p,35-439-6199,tz1aHhjGV6gVTGUrbJeGo1rXTjcHQ7HH5J1b,tz1b6bYH9PKHRKEEW7FjzLvuooYkr8cZpkNG,3197383427,63-450-2033,Jerez de la Forntera,2024-04-18
Solarbreeze,inactive,failure,fsilverman7q,18-900-4403,tz1MZ6pggZfkPgzFVrxrkTSgtKKEf74eULUU,tz1TkGTcYMwg36boBe7kiCyQi4vt3bneYqxj,4141011959,69-281-9267,,2023-11-17
Konklab,active,success,djeenes7r,72-679-1432,tz1hCCqfcei7bE7GzSSN5uBAoTPjBFesMmWe,tz1f1wtXVKvFbT85PEKy71cWJJhZi9Vs32Gu,4050778408,19-920-4964,Mariquita,2024-03-22
Pannier,inactive,failure,icaistor7s,93-046-6275,tz1RNpgio3qith2mVY9jWpb3pQEtmesdKRBX,tz1UJK3qMd6pEzKCsaxdtncdc7HTxQgPuRCk,6238738081,22-988-2731,Zapala,2024-07-01
Transcof,active,failure,htrevain7t,70-142-1742,tz1WZgveTEVSUanCd3TPzw7fybuswdbGQ9PW,tz1e4YjSnpkb2tdap8Xn5oeEHSHLeufEQBHx,5981308656,02-549-7318,Porto Velho,2024-02-08
Home Ing,active,success,bmcdarmid7u,46-381-4739,tz1R2GQX2aChVhrBMv5Yf6jjkkgnhpQRmHSb,tz1UuoWcs6GCPuBXYZsWPF3FVEa465udNNhf,6327806473,54-894-8371,,2024-02-21
Transcof,inactive,success,icleugh7v,90-192-9293,tz1YYz8h3iGctrafcPFEu4QmHpj6DAFZm1dT,tz1aiRpwEkmYrFGQEPWabxWJ2X2y6yi1WV6m,1032947861,95-756-9378,Chicago/Aurora,2024-05-16
Zamit,active,success,bkenlin7w,15-242-2905,tz1UvWovmnuq749uF34xaAvshuDwhByok4fV,tz1Tx6mmPJERscSCvhPiR7iregTddKCFphgs,2445546222,23-410-7493,Norfolk,2024-10-27
Biodex,inactive,failure,meble7x,46-097-5817,tz1at4JdNA3B43CRbCYYKB8tGQNv9jqe4EYd,tz1WVaDjMUfe1gXy66YM6C49KMM6yNn2gP8o,6261968276,95-135-6451,Shay Gap,2024-07-14
Pannier,active,failure,ggreeve7y,03-996-8835,tz1WPRGzbubfcRfV3mC5VR4XcVYHTa1KtJrP,tz1hLNwBaTRxGskWJW3UiMuHye4uTapdAFcp,9093064479,94-163-8501,Calverton,2023-11-26
Duobam,active,success,hmaleby7z,25-599-1957,tz1PgEnG49iy9BuxC62WuQKgBU7Pr1xbo22d,tz1iMocoo2aGDPLbMFg5HVKyBU9xDoh4AFeq,1230358757,83-600-9683,Martha's Vineyard,2024-07-21
Home Ing,inactive,failure,cbulled80,75-474-1193,tz1Pxc1ixWn5PdJL75RbczQrdNgaPmSkTSmc,tz1iXseDicrzQZsAqn5UkSHSPSN2UXHUerjY,5982488364,20-287-1802,Saint-Nazaire/Montoir,2024-02-03
Sub-Ex,active,failure,tdelacroix81,86-267-3036,tz1fPMiAQpeHHKXmbe3PrwM39asypVFg43LG,tz1dx7eJA5HeVFQ83zbwPXAfDuTzGgZgSA8M,4179459647,12-574-3495,Semonkong,2024-02-10
Quo Lux,active,failure,efilipczak82,34-776-4614,tz1Z4eef4ZyatCSPWRSomWc4ThWejqxLJgvR,tz1VPV2xb1kD6RNZrU1GxSELM5gT2JmamAFB,2160381128,80-729-4644,Manus Island,2023-12-03
Asoka,inactive,failure,cblucher83,89-909-0539,tz1eBJaW5krWFet6ycqeQywj5HK9er6VJds3,tz1avjtt4RBDbqV5XUoXTASdNEB7yXrChB7q,9379722451,52-545-3099,Elelim-Papua Island,2023-12-12
Temp,active,success,ddrews84,30-757-7852,tz1N6GozrDemu9VtrdgdJr9KYmQN3W9fBrud,tz1W8zub4HBDwe18qECPef1iz7w3LGUamdeZ,0095743863,10-832-8111,Aviano (PN),2024-03-24
Bigtax,active,failure,jmaccoveney85,80-978-3480,tz1QNc1sdZaFa4qsCSPjqX74U9UxfnQ7JLrT,tz1dj3cJk1NfMVFodXKwhaTgyeKhJghcaSmY,8083381489,69-743-8838,Centenário Do Sul,2024-10-08
Konklab,inactive,success,jcardenosa86,05-160-6849,tz1S7QDEAKToDV9HRnZSM7Dnp23ZVGTikwhA,tz1egd6GtwhwjzVQ8T6ZFckJ25uVEnL53Cf4,6212623503,68-319-4241,Ramstein,2024-01-18
Voltsillam,active,failure,ntitterton87,30-977-9502,tz1crjrhWv4DSEXsB7QfsK1sXkzXJNXMwxEy,tz1Y3i8H4A3o3AA7ymtmijqnyL3SW6Tc5wLF,8553236242,73-604-3425,Anegada,2023-12-26
Zathin,active,failure,cromayne88,61-546-9672,tz1b9F7mHYiCvRUGiKNsgzcUpYR1BmDg6FL7,tz1d8RN7Lduc1Cm1ZWGUfpBiHXRsGCYK5DUm,8579560063,22-199-1885,,2024-10-15
Veribet,active,failure,kmordecai89,99-959-3165,tz1KfCNys7XdYZjinaHeDsmWzPr6PRKHEB9i,tz1Xyu4RTTLW5df5UG2AaMYVsJEiw7foxDba,0548067511,62-739-0308,Santarém,2024-10-02
Zaam-Dox,active,success,dsnar8a,05-513-7962,tz1XkmP2mnUeA1APsZsQ1EeG2jpzeFUEDdEm,tz1Q7BnWnmbhC1LzoEZaqWqMdqiZovhk6FRE,2639147943,57-151-3733,Kyzyl,2024-03-06
Stronghold,inactive,failure,jsearl8b,52-080-0328,tz1UwDZR916xPfBAMQwk24y61uZ8Y9pCYssY,tz1epXfsWdqLz8y2V2w6E7KePCxqKukjeLGr,5394662614,57-992-6362,Crane,2024-08-13
Ventosanzap,active,success,ahuntly8c,49-535-2284,tz1M8Z3ozmadVpXon8CSSSgTWo9Y4uVRyqWu,tz1QSKx5FBAkupghpngF6B96WZ6T4KUv1GtL,4200251833,58-813-9474,Bhagatanwala,2024-01-05
Andalax,inactive,success,uanthiftle8d,92-211-9169,tz1MGfCEQrWsFeRAusoZUFt3owqBKDwAxxVc,tz1ee9rPfhx7NyccPj4WHVVvdshHditbMHZh,2450457380,01-270-8197,Kasos Island,2024-06-24
Veribet,inactive,success,tquinton8e,77-908-7130,tz1Mmi6BejamSJ8ju7Lc2qtbCrWcWzPmjRyF,tz1TUjYoSKW4n4FFLC8rWHb5nSxuJDP2UvqG,9879634128,89-870-6366,Zhaotong,2024-03-25
Keylex,active,success,mstoggell8f,79-091-7543,tz1W9a1JTzv7ketwWcYHyDP32ubJu74qoCub,tz1WBYDUy2GwsG18jx16HR55p21TvLBbZarD,4626111556,89-038-2219,Tidjikja,2024-05-04
Lotlux,inactive,failure,jkull8g,77-242-3044,tz1Tip7nAXg9qnKG1xuLXathGomN5WYapdqW,tz1gaNmKHF3PaZbPuWuhcRayasS9Y53kqRPk,3751309454,13-652-8831,Jackson,2024-09-12
Lotstring,inactive,failure,lfairn8h,41-811-2059,tz1Kov3Vijs4tzxmwEvbEmRWjB75F5SKF6zW,tz1Zr441UXZTv3F4XMxqV8fWSCAE4wedf1zF,9211994152,50-771-5555,Matane,2024-07-02
Prodder,active,success,klotwich8i,75-834-7988,tz1TcQBQdCxwxkQ4wHR1jPtfsesf4ira7Db4,tz1RMnEruQUqQUacz9tQG8e4S4VAUxSeoUEr,9511115049,73-617-8112,Newport,2023-12-04
Bigtax,active,failure,tjurn8j,77-031-5028,tz1iSBzsYNnuLLXdhbY8EMUKsz3y2Qtr9u1N,tz1ViycvGufvdyaFzqGpc4EkjY3jNFF8FN6A,5789602495,65-378-7515,Wake Island,2024-03-15
Aerified,active,success,bgadie8k,34-300-9647,tz1PU1uYnurrYTagMPJe6qQM7PeLUYeMgaL7,tz1UhDu35zER3iY9CQfc17Fki31Nc5YKXv2r,1956002707,23-143-8732,Chitato,2024-01-15
Kanlam,active,success,goneill8l,21-173-1963,tz1TDKvjQ73hZas6jYSep4vGatwkTChEGp1E,tz1f5tM3MUi9eq5HLBoQFe3NBiivNk1HXDyt,8877054123,88-982-0568,Malindi,2024-08-25
Overhold,inactive,success,estanhope8m,15-109-3171,tz1dTqKaZewsBXUdFCnbHLhmKY4HAZedRA44,tz1SdodnbzM4nhSraqtwb6XVHEBjpbLFZCLF,3705073001,30-038-8022,Tarapacá,2024-06-24
Sonair,active,success,chabgood8n,06-282-3440,tz1h8sw9CSbKfzqbyVv6fzcuzvPsxCzzzq54,tz1QVdiYuqvER5Uo7iopq7d8pdpHbvZoA2Mf,9833100759,28-025-2830,Oshawa,2023-11-09
Zontrax,inactive,failure,dabate8o,64-610-9927,tz1WJHMyau3it1DoSa8LWxLoF8eac79aDdUf,tz1RdmjDBTpLb85zJQwJ7pfvAfjcahXAy46y,6383641166,94-028-4006,Soroako-Celebes Island,2024-01-17
Viva,active,failure,liskowicz8p,52-491-4616,tz1hH6vTFSdY9z18PFxcw9ZjJv2ubrq4ZMNN,tz1M9Jxmfck6ZPeey1teVxLGcWKQhNN2SSaG,1004578857,55-990-4079,Osaka,2024-08-20
Alpha,inactive,success,fbischof8q,79-107-9849,tz1e1cmrArmhv6C7mknz8moJen9wWPgpWjDQ,tz1RcPcJde4AwSsnJtREFpHmvNzyrPJLKjAA,7692157154,19-399-4722,Spokane,2024-06-20
Hatity,inactive,failure,mshepherd8r,76-178-3736,tz1dzGhYfr7sg3j3BfUdvvNrBQ3HKA9Q1Eti,tz1iqCGC8TNuuDZ8tH2aVHAEWyvFj6Kvr1gC,8815236813,44-126-4284,North Cat Cay,2024-09-13
Stringtough,active,success,kswinburne8s,32-257-0012,tz1c59zjSnfcj8EUknAE8zDrzqKzobvj3wAz,tz1dVLrqtXWRgNBAhEaiK5LzhdWEAMC939z3,7261912514,23-139-8000,Calvi/Sainte-Catherine,2024-11-01
Kanlam,inactive,success,wklagge8t,25-218-1734,tz1SWTcrDVc8doJ6xB12Ljrgz13zsFKfAfG4,tz1fGdhUPWuVT4BWZ5Zuvcmuoh99pPCC6jBC,0732894190,57-305-3449,Jamba,2024-07-01
Trippledex,active,failure,rlunney8u,63-753-4649,tz1R94stZPVfJuAZdn6LHN7sRchbj8EETL9T,tz1QsySFGarE1yiJH32ughJ2Vo7eRD5M9tUJ,4736153326,83-339-9086,Sipora Island,2024-08-17
Sonair,active,failure,cbeverage8v,39-630-5758,tz1ZuFBCXzjjNsAyefoeunxCPTdoiGM9nug1,tz1SR7PVxHHPfwgrV7w8o2cG86dUhmPwDk4d,2031061194,40-362-8544,Magangué,2024-04-17
Lotlux,inactive,success,aparlett8w,44-331-6232,tz1PU4sT9oQDoAquAbpMWy6kGwNYmfCx8vJG,tz1fqMzz4nZhaUikL1v7kRkk4HVugocdw4Vw,2007011727,18-209-7174,Bonito,2024-07-31
Voltsillam,inactive,failure,pastill8x,56-313-8541,tz1X7i1FNm3pPjjMCTeRBnAdMfFt5BARQLd9,tz1a1zAVmuC7LkYGSNhTXJLNLJNrkyKQLJEc,3301518583,81-507-9074,David,2024-04-17
Zaam-Dox,active,failure,tturbill8y,21-765-3933,tz1TAZuBqp3KDs8NcuXMueGiqVurCn6wV7oY,tz1YL2Bhen9PdEUTNbF2YXojPwzj92iLp9D5,2967117137,18-942-5560,Jimma,2024-03-23
Tres-Zap,active,failure,tchastey8z,61-816-7066,tz1Lc92gEQDifJZxrrw3A1eFrLPsgJtomU11,tz1L6gXWVFy7FAdGA2oJbReHhsAjs4XCtRbS,3130198210,32-466-2935,,2023-11-12
Transcof,inactive,success,ibellini90,94-167-8404,tz1MPNEL17cnwsbFNVfaPhiWy5QezK9QoKXG,tz1bfkwUDhCr7hLXHuVvLwb4n4EKGkvp8jKv,5451086834,42-841-0738,New Halfa,2024-05-11
Ronstring,inactive,success,lsellek91,43-832-3916,tz1f6dMPWhyPLUvp7d6VPLpn4F9Rd9MNMqZC,tz1gJ75gzaXcVJWT3RwB9anhuGyQfsQHJ4hm,2608422012,24-253-1727,La Tabatière,2024-05-30
Tin,active,success,pskyram92,05-884-8175,tz1QkQQiH8JPzn5tno26jPRUzM4kdZuFxiZ6,tz1gttwiTzM7fazHWabKHBfGcLo38SWHXT4Q,7387396825,69-185-5817,Elim,2024-01-30
Gembucket,inactive,success,bjorio93,17-350-9012,tz1KmtmuRgfuLpyDbmGfiTkmvDEKwGuptmrD,tz1Xfea69NGXriZ2yhL1wANKfAo65Tt3pPxX,4123045405,14-462-4584,Port Walter,2023-12-12
It,inactive,failure,crotlauf94,42-452-2632,tz1Mc9q3aWfNpiDhWYdWcDBdCuLnVtpsTDy8,tz1bFpjgQTS5VPUtQyYdxnQSZ7q5nChVFnN7,3454279097,07-953-4897,Maliana,2024-05-14
Alphazap,inactive,success,cmaccome95,86-896-4949,tz1TEWgK3YrvhjhujbYLmgj29DCGU3n3yspw,tz1PV2bPx9Hfppmg3Cc3Agif36pQV5Akj6zY,7035782605,21-441-9500,Guriaso,2024-10-21
Trippledex,inactive,success,rhatchett96,80-099-9811,tz1MPWvmRF3dH41tdMiUveHbMMeKRxhWDRHX,tz1eW1dj4WPtRJYjfNYfhC7Pw9wBUzAXv7r5,7104560432,67-039-2809,Lilongwe,2023-12-18
Alpha,inactive,failure,ldevey97,12-516-7919,tz1TQJWDNdoPfwkuuKFLC93bSYLZBX5j6pJZ,tz1LUQqums3rp7tsx9uMEc5NFccKyXNqvpHU,5596421421,58-004-1498,,2024-01-01
Toughjoyfax,inactive,success,holenikov98,44-847-8197,tz1dPgzoFD8PvtMkFu5SPCMhmqUgJvs3hQg3,tz1Vsz9C7NFGPz8jQyyf9YjA5dEqcSWboCV5,2250084459,57-719-6588,Verona,2024-06-25
Flexidy,active,success,rharkins99,74-139-5532,tz1NoWqVAfx4uCaqgwa3sUihZJKj6dWsRBwJ,tz1ibNMYBuRb7natsVwQmyYMukMoFjDde88Z,2431080013,12-871-8425,Hogatza,2024-09-16
Regrant,active,success,bdainty9a,55-879-5224,tz1WxyxHPxbJQ5zrqrxKaqtjrEawuXRE2DcB,tz1bjTHJtSKgBkNND3zQjYuvyEbdsYJqd7Ea,3944494776,89-462-3672,Tulaghi Island,2024-06-14
Stim,active,success,hruggles9b,14-911-8702,tz1WrfiectQWVC7a97agiE4gsFNGkpsqyn4Q,tz1LD5nDew4RtcJmYUAEicvomJBza44MnDZH,4888274908,80-261-5216,Paros Island,2023-11-29
Mat Lam Tam,inactive,failure,rstanworth9c,53-450-6066,tz1SmhNb7dG1xwi8H46hpHZaC7t5BwXHPZzJ,tz1Ysang2fC4B8B8fHzzKQU7KDWR9Y73gkpn,5476960945,96-367-2310,Tissamaharama,2024-03-25
Cardify,active,failure,rottey9d,60-519-3607,tz1Wmcmr792aDxE1JXxzXRchdJNuYc1p1tgG,tz1ajN5fPM5GFngYetk9GKuabTWCdX2eAMt5,1629392502,16-853-1804,Moscow,2024-05-31
Holdlamis,inactive,failure,ndilger9e,03-388-6846,tz1Vm9Pwu5gmVTwuNxJPJrtWxyFAw8rQWdnV,tz1gFViAWXi7uLp49aShytLPBzKuEsN1NRBK,2680200683,60-742-5361,Vaasa,2024-07-03
Zathin,inactive,failure,mstorm9f,16-835-3945,tz1Yq2DyXJXatzk3CRdDsokBjLodpH1eAA5z,tz1T2GCQGh3iA5JQ6EfUpuPviYWfYSXZyvc4,7461843222,99-171-3093,Preveza/Lefkada,2024-02-06
Fintone,inactive,success,jgarrud9g,62-326-9397,tz1dwFmiB5veQzc8MtirobdU9VnYLKjh4gLx,tz1KniVYoer4rdcD5zwejrVrm9kPPjnjZWmV,7059640266,37-207-4562,Xiamen,2023-12-15
